Symbol		Generated		Generated %				Historical Trades			Historical %
AACC		0			0		74.285714285714291805		4.5420630523515348624e-05
AAON		311			0.00014714391763347159814		320		0.00010219641867790953441
AAPL		59749			0.028269138053640818386		63809.142857142855064		0.028252578448762453415
AAWW		212			0.00010030389240609639488		759.14285714285711038		9.7938234566329970475e-05
ABAX		199			9.4153182022703691418e-05		344.57142857142855519		0.00010219641867790953441
ABCB		150			7.0969735192992732228e-05		136.28571428571427759		8.1378629687964999616e-05
ABCD		8			3.785052543626279052e-06		26.85714285714285765		6.1507103833927034597e-06
ABCO		587			0.00027772823038857822545		893.71428571428566556		0.0002815132829322045045
ABFS		164			7.7593577144338720566e-05		947.28571428571433444		9.0841261047030697249e-05
ABTL		10			4.731315679532848815e-06		10.14285714285714235		5.677578815439418578e-06
ACAD		2075			0.00098174800350306612908		2127.1428571428573377		0.00097275850371195371637
ACAS		1594			0.00075417171931753610112		2264.7142857142857792		0.00076694627165227479293
ACAT		840			0.00039743051708075930047		799.42857142857144481		0.00038702162258578703307
ACCL		402			0.00019019889031722052236		412.71428571428572241		0.00019114515345312709212
ACET		236			0.00011165905003697523203		262		0.00011828289198832122038
ACFN		259			0.00012254107609990078432		217		0.00011591723414855479597
ACGL		587			0.00027772823038857822545		1827.7142857142857792		0.00027962075666039136497
ACHC		160			7.570105087252558104e-05		1804.4285714285713311		8.1378629687964999616e-05
ACHN		837			0.00039601112237689944581		1388.2857142857142208		0.00039743051708075930047
ACIW		527			0.00024934033631138113254		608.71428571428566556		0.00027441630941290523128
ACLS		397			0.00018783323247745409796		347.42857142857144481		0.00017458554857476212127
ACOM		502			0.00023751204711254901052		574		0.0002351463892727825861
ACOR		498			0.00023561952084073587099		918.57142857142855519		0.00025170599415114755696
ACRX		785			0.00037140828084332863198		438.85714285714283278		0.00037897838593058119008
ACTG		1023			0.00048401359401621043377		2018		0.00050293885673434182902
ACTS		29			1.3720815470645261563e-05		15.285714285714286476		1.1828289198832122037e-05
ACUR		1490			0.00070496603625039447346		702		0.0007167943254492265955
ACWX		296			0.00014004694411417232493		257.57142857142855519		0.00015282149644891101673
ACXM		925			0.00043764670035678851539		878		0.0004296034637015826724
ADBE		7651			0.0036199296264105826284		7112.857142857143117		0.0035352390757469446346
ADEP		3			1.4193947038598546445e-06		21.428571428571427049		1.4193947038598546445e-06
ADES		303			0.00014335886508984531909		256.28571428571427759		0.00013153057589101319705
ADI		5571			0.0026358159650677500749		4910.142857142856883		0.0026192563601893851039
ADNC		405			0.00019161828502108037701		313.14285714285716722		0.00019019889031722052236
ADP		2366			0.0011194292897774720297		5284		0.0011530216311021552563
ADSK		2955			0.0013981037833019568248		4913.7142857142853245		0.0014137171250444152259
ADTN		2375			0.0011236874738890515935		2310.7142857142857792		0.0010957727113798077856
ADUS		37			1.7505868014271540616e-05		37.857142857142854098		2.0817788989944534787e-05
ADVS		421			0.00019918839010833293511		512		0.00021622112655465119085
AEGN		516			0.00024413588906389499885		551.14285714285711038		0.00023656578397664244075
AEGR		575			0.00027205065157313880687		902.42857142857144481		0.00025596417826272712089
AEIS		145			6.8604077353226307821e-05		442.42857142857144481		7.2389129896852586871e-05
AEPI		116			5.4883261882581046254e-05		136.28571428571427759		5.0151946203048197441e-05
AERL		210			9.9357629270189825119e-05		144.1428571428571388		9.2260655750890551892e-05
AFAM		160			7.570105087252558104e-05		171.42857142857141639		8.8475603207264272842e-05
AFCE		195			9.2260655750890551892e-05		370.71428571428572241		9.3680050454750406536e-05
AFFX		486			0.00022994194202529645242		631.14285714285711038		0.00023845831024845558028
AFFY		554			0.00026211488864611982436		1085.1428571428571104		0.00027157752000518552198
AFOP		67			3.169981505287008706e-05		80		3.1226683484916802179e-05
AFSI		375			0.00017742433798248183056		672.71428571428566556		0.00017505868014271540616
AGEN		99			4.6840025227375203268e-05		151.57142857142858361		4.8259419931235057912e-05
AGII		173			8.1851761255918284497e-05		178.8571428571428612		7.9486103416151860091e-05
AGNC		4719			0.0022327078691715513559		4611.4285714285715585		0.0022582569738410287394
AGQ		723			0.00034207412363022496933		743.85714285714288962		0.00035721433380473008553
AGYS		49			2.3183446829710959193e-05		74.714285714285708195		2.3656578397664244075e-05
AHGP		34			1.6086473310411685971e-05		167.71428571428572241		1.7032736446318255735e-05
AIG		22192			0.01049973575601929809		31943.571428571427532		0.010665804936370901084
AIMC		244			0.00011544410258060151109		345.28571428571427759		0.00011307844474083508668
AINV		471			0.00022284496850599717919		1657.7142857142857792		0.00022095244223418403966
AIRM		435			0.00020581223205967892345		430.28571428571427759		0.00019493020599675337119
AIXG		187			8.8475603207264272842e-05		130.1428571428571388		9.2733787318843836774e-05
AKAM		6400			0.0030280420349010232416		9162.285714285713766		0.0030086436406149385615
AKRX		765			0.00036194564948426293436		1597.8571428571428896		0.00037424707025104834128
ALCO		66			3.1226683484916802179e-05		97.857142857142861203		3.4538604460589796351e-05
ALCS		2			9.4626313590656976301e-07		7.4285714285714288252		2.3656578397664244075e-06
ALGN		4921			0.002328280445898114902		4115		0.00233585055098536746
ALGT		78			3.6904262300356220758e-05		459.57142857142855519		3.4538604460589796351e-05
ALIM		1			4.731315679532848815e-07		35.714285714285715301		4.731315679532848815e-07
ALKS		1241			0.00058715627583002653796		1957.8571428571428896		0.00058337122328640025891
ALLT		906			0.00042865720056567610265		1074.8571428571428896		0.00043386164781316223634
ALNC		45			2.1290920557897819668e-05		44.285714285714284699		2.3656578397664244075e-05
ALNY		277			0.00013105744432305991218		514.85714285714288962		0.00012112168139604092966
